Ovr,Name,POS,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
78,Johnny Mundt,TE,JAX,61.0,57.0,47.0,57.0,,,,,,,,,,,,,,
35,Jackson Hawes,TE,BUF,35.0,51.0,22.0,45.0,,,,,,,,,,,,,,
7,Juwan Johnson,TE,NO,1.0,4.0,9.0,27.0,,,,,,,,,,,,,,
2,Trey McBride,TE,ARZ,12.0,5.0,6.0,8.0,,,,,,,,,,,,,,
64,Darnell Washington,TE,PIT,61.0,57.0,58.0,29.0,,,,,,,,,,,,,,
63,Colby Parkinson,TE,LA,52.0,,58.0,35.0,,,,,,,,,,,,,,
73,Lucas Krull,TE,DEN,47.0,57.0,45.0,,,,,,,,,,,,,,,
7,Jaxon Smith-Njigba,WR,SEA,8.0,13.0,8.0,25.0,,,,,,,,,,,,,,
11,Tre Tucker,WR,LV,24.0,78.0,1.0,73.0,,,,,,,,,,,,,,
133,Tyrell Shavers,WR,BUF,118.0,123.0,76.0,114.0,,,,,,,,,,,,,,
158,Xavier Weaver,WR,ARZ,,,,114.0,,,,,,,,,,,,,,
116,Jaylin Lane,WR,WAS,95.0,119.0,119.0,78.0,,,,,,,,,,,,,,
42,Jameson Williams,WR,DET,57.0,12.0,57.0,61.0,,,,,,,,,,,,,,
158,LaJohntay Wester,WR,BLT,,123.0,,114.0,,,,,,,,,,,,,,
58,Dyami Brown,WR,JAX,45.0,16.0,92.0,,,,,,,,,,,,,,,
16,Zay Flowers,WR,BLT,1.0,27.0,87.0,23.0,,,,,,,,,,,,,,
75,Darius Slayton,WR,NYG,118.0,60.0,53.0,49.0,,,,,,,,,,,,,,
15,Justin Jefferson,WR,MIN,20.0,38.0,29.0,8.0,,,,,,,,,,,,,,
144,Jake Bobo,WR,SEA,,123.0,121.0,91.0,,,,,,,,,,,,,,
97,Tylan Wallace,WR,BLT,118.0,44.0,121.0,95.0,,,,,,,,,,,,,,
68,Terry McLaurin,WR,WAS,70.0,47.0,37.0,,,,,,,,,,,,,,,
